,tconst,primaryTitle,startYear,ordering,nconst,characters,primaryName,birthYear
42046,tt0048944,The Ambassador's Daughter,1956,1.0,nm0000014,"[""Joan Fisk""]",Olivia de Havilland,1916
44008,tt0044327,Actors and Sin,1952,3.0,nm0402554,"[""Marcia Tillayou (segment \""Actor's Blood\"")""]",Marsha Hunt,1917
44009,tt0044687,The Happy Time,1952,3.0,nm0402554,"[""Susan Bonnard""]",Marsha Hunt,1917
51174,tt0043427,Corky of Gasoline Alley,1951,2.0,nm0527996,"[""Skeezix Wallet""]",Jimmy Lydon,1923
51175,tt0125761,Gasoline Alley,1951,2.0,nm0527996,"[""Skeezix""]",Jimmy Lydon,1923
52401,tt0042542,The Happy Years,1950,2.0,nm0382718,"[""'Tough' McCarty""]",Darryl Hickman,1931
53571,tt0049463,Magnificent Roughnecks,1956,3.0,nm0309607,"[""Jane Rivers""]",Nancy Gates,1926
54115,tt0035423,Kate & Leopold,2001,1.0,nm0000212,"[""Kate McKay""]",Meg Ryan,1961
54116,tt0090660,Armed and Dangerous,1986,2.0,nm0000212,"[""Maggie Cavanaugh""]",Meg Ryan,1961
54117,tt0093260,Innerspace,1987,3.0,nm0000212,"[""Lydia Maxwell""]",Meg Ryan,1961
54118,tt0108160,Sleepless in Seattle,1993,2.0,nm0000212,"[""Annie Reed""]",Meg Ryan,1961
54119,tt0110099,I.Q.,1994,2.0,nm0000212,"[""Catherine Boyd""]",Meg Ryan,1961
54120,tt0118556,Addicted to Love,1997,1.0,nm0000212,"[""Maggie""]",Meg Ryan,1961
54121,tt0128853,You've Got Mail,1998,2.0,nm0000212,"[""Kathleen Kelly""]",Meg Ryan,1961
54122,tt0419843,In the Land of Women,2007,3.0,nm0000212,"[""Sarah Hardwicke""]",Meg Ryan,1961
54123,tt0430770,The Women,2008,1.0,nm0000212,"[""Mary Haines""]",Meg Ryan,1961
54124,tt0780534,My Mom's New Boyfriend,2008,2.0,nm0000212,"[""Martha Durand""]",Meg Ryan,1961
54125,tt1133993,Serious Moonlight,2009,1.0,nm0000212,"[""Louise""]",Meg Ryan,1961
54126,tt0035423,Kate & Leopold,2001,2.0,nm0413168,"[""Leopold""]",Hugh Jackman,1968
54127,tt0244970,Someone Like You...,2001,3.0,nm0413168,"[""Eddie Alden""]",Hugh Jackman,1968
54128,tt0366548,Happy Feet,2006,3.0,nm0413168,"[""Memphis""]",Hugh Jackman,1968
54129,tt0424095,Flushed Away,2006,1.0,nm0413168,"[""Roddy""]",Hugh Jackman,1968
54130,tt0457513,Scoop,2006,2.0,nm0413168,"[""Peter Lyman""]",Hugh Jackman,1968
54131,tt1083452,Eddie the Eagle,2015,2.0,nm0413168,"[""Bronson Peary""]",Hugh Jackman,1968
54132,tt3332064,Pan,2015,2.0,nm0413168,"[""Blackbeard""]",Hugh Jackman,1968
54133,tt0035423,Kate & Leopold,2001,3.0,nm0000630,"[""Stuart Besser""]",Liev Schreiber,1967
54134,tt0119296,His and Hers,1997,1.0,nm0000630,"[""Glenn""]",Liev Schreiber,1967
54135,tt0324619,Spinning Boris,2003,3.0,nm0000630,"[""Joe Shumate""]",Liev Schreiber,1967
54137,tt1301990,Every Day,2010,1.0,nm0000630,"[""Ned""]",Liev Schreiber,1967
54138,tt1333125,Movie 43,2013,4.0,nm0000630,"[""Robert (segment \""Homeschooled\"")""]",Liev Schreiber,1967
54139,tt1655416,Mental,2012,3.0,nm0000630,"[""Trevor""]",Liev Schreiber,1967
54140,tt4131800,My Little Pony: The Movie,2017,3.0,nm0000630,"[""The Storm King""]",Liev Schreiber,1967
54141,tt0035423,Kate & Leopold,2001,4.0,nm0005227,"[""Charlie McKay""]",Breckin Meyer,1974
54142,tt0118925,"Dancer, Texas Pop. 81",1998,1.0,nm0005227,"[""Keller Coleman""]",Breckin Meyer,1974
54143,tt0215129,Road Trip,2000,1.0,nm0005227,"[""Josh""]",Breckin Meyer,1974
54144,tt0250687,Rat Race,2001,1.0,nm0005227,"[""Nick Schaffer""]",Breckin Meyer,1974
